id,sentence,verb,xcomp,level,sub
5,"Nendel põhikooli lõpetajatel, kes on otsustanud jätkata õpinguid gümnaasiumis, on samuti mitu võimalust.",otsustama,jätkama,gümn,", kes on otsustanud jätkata ,"
9,"Üha rohkem leidub noori, kes pärast gümnaasiumi lõpetamist soovivad astuda kõrgkooli.",soovima,astuma,gümn,", kes lõpetamist soovivad astuda"
36,Isegi pastakat ei julgenud kelleltki küsida.,julgema,küsima,gümn,pastakat ei julgenud küsida .
37,"Ükskord püüdsin juttu alustada nii, et küsisin, kes Stingi kontserdil käis.",püüdma,alustama,gümn,Ükskord püüdsin alustada küsisin .
57,"Kui lähed uude kooli, püüa leida vähemalt üks klassikaaslane, kellega suhelda.",püüdma,leidma,gümn,lähed püüa leida .
116,"Kui tahad tunni ajal minna WC-sse või arsti juurde, saadab sind sinna klassi poolt valitud esindaja.",tahtma,minema,gümn,"Kui tahad minna ,"
128,"Kui sa tahad tunni ajal näiteks WC-sse minna, siis peab õpetaja sulle nn passi kirjutama.",tahtma,minema,gümn,"Kui sa tahad minna ,"
146,"Koolis tohtis end meikida, kuid kõrvarõngaid ei tohtinud olla.",tohtima,meikima,gümn,Koolis tohtis meikida olla .
209,"Nad oskavad tekitada vaidlust ka siis, kui esmapilgul pole millegi üle vaielda.",oskama,tekitama,gümn,Nad oskavad tekitada vaielda .
247,Kolmandik vene koolinoortest tahaks õppida Tartus.,tahtma,õppima,gümn,Kolmandik tahaks õppida .
251,Kelleks oled üldse soovinud saada?,soovima,saama,gümn,Kelleks oled üldse soovinud saada ?
257,Lapsepõlves tahtsin autojuhiks saada.,tahtma,saama,gümn,Lapsepõlves tahtsin saada .
259,Tahan kindlasti ülikooli astuda.,tahtma,astuma,gümn,Tahan kindlasti astuda .
264,"Kui varem unistasin maale perenaiseks minekust, siis nüüd on vastupidi - tahaksin elada võimalikult suures linnas.",tahtma,elama,gümn,- tahaksin elada
266,Mina tahaksin väga telerežiid õppida.,tahtma,õppima,gümn,Mina tahaksin õppida .
268,Olen kogu aeg tahtnud arstiks saada.,tahtma,saama,gümn,Olen aeg tahtnud saada .
269,Praegu tahan sotsiaaltööd õppida.,tahtma,õppima,gümn,Praegu tahan õppida .
