id,sentence,verb,xcomp,form,level,sub
110,"Mind pani imestama, et Inglismaal käiakse suvel koolis.",panema,imestama,imestama,gümn,Mind pani imestama .
172,Mis teid sealses elus imestama pani?,panema,imestama,imestama,gümn,Mis teid elus imestama pani ?
186,"Mind pani väga imestama, et prantsuse koolides pole traditsioone: puuduvad nii kooli aastapäevapidustused kui ka lõpuaktused.",panema,imestama,imestama,gümn,Mind pani imestama .
741,"Unustad sauna õigel hetkel sisse lülitamata või jääd veerand tundi kauemaks teleri ette, ongi graafik paigast.",unustama,lülitama,lülitamata,gümn,Unustad sauna lülitamata jääd .
757,"Legend räägib, et aastaid tagasi, kui olid noor ja roheline, kutsus üks vanem Eesti koondislane sind võistluste viimasel päeval suveniire ostma.",kutsuma,ostma,ostma,gümn,", et aastaid noor , kutsus koondislane sind võistluste päeval ostma"
785,"Et peres ikka sealiha jätkuks, pandi seajalad odra- kruupide ja ubade või hernestega koos keema.",panema,keema,keema,gümn,jätkuks pandi seajalad kruupide keema .
1061,"Tean seda ette juba enne, kui nad mind üldse kohtama kutsuvadki.",kutsuma,kohtama,kohtama,gümn,", kui nad mind üldse kohtama kutsuvadki"
1073,"Kui Mark oli Rita tantsima palunud, märkas ta mind.",paluma,tantsima,tantsima,gümn,"Kui Mark oli Rita tantsima palunud ,"
1316,Metsamajandusele on kasulik jätta kasvama võimalikult sirge tüvega puid - need ei sobi aga metsaelanikele.,jätma,kasvama,kasvama,gümn,Metsamajandusele jätta kasvama
1516,Kutsume kõiki veetma õhtut ja täitma kõhtu omapärases veskimiljöös.,kutsuma,veetma,veetma,gümn,Kutsume veetma täitma .
1810,Oskuslik reklaam meelitas uut toodet kasutama.,meelitama,kasutama,kasutama,gümn,reklaam meelitas kasutama .
1811,Tänavareklaam kutsus möödujaid kohvikusse sisse astuma.,kutsuma,astuma,astuma,gümn,Tänavareklaam kutsus möödujaid kohvikusse astuma .
2134,Hirm paksuksminemise ees sunnib nälgima.,sundima,nälgima,nälgima,gümn,Hirm sunnib nälgima .
