id,sentence,verb,xcomp,level,sub
50,"Uusi kaaslasi oleks vaja tundma õppida, ent ei tohi olla liiga pealetükkiv.",õppima,tundma,gümn,tundma õppida
394,"Teil tuleb õppida eristama neid sündmusi, mis on teie enda tegevuse vahetu tulemus.",õppima,eristama,gümn,õppida eristama
395,Õppige neid hindama eesmärgi saavutamise seisukohalt.,õppima,hindama,gümn,Õppige hindama seisukohalt .
397,Teil on kasulik õppida usaldama oma tundeid.,õppima,usaldama,gümn,õppida usaldama
416,Õpi mängima mõnd pilli.,õppima,mängima,gümn,Õpi mängima .
429,"Õpi eristama Chopini, Mozarti ja Beethoveni muusikat.",õppima,eristama,gümn,Õpi eristama .
517,"Teised usuvad, et kui õpitakse paremini tundma inimese aju talitlusmehhanismi, luuakse neid teadmisi kasutades esimesed tõeliselt intelligentsed arvutid.",õppima,tundma,gümn,", et kui õpitakse tundma ,"
996,Nende soov kõigest osa saada kipub sind lämmatama.,kippuma,lämmatama,gümn,Nende soov kipub lämmatama .
1111,"Seejärel töötas kodupaiga kolhoosis ja õppis EPA kaugõppes agronoomiat 1957 - 62, stuudiumi lõpetamata.",õppima,lõpetamata,gümn,ja õppis kaugõppes agronoomiat lõpetamata
1394,"Olles hakkaja ja edasipürgija, on ta lausa sündinud karjääri tegema.",sündima,tegema,gümn,", on ta lausa sündinud tegema"
1400,Aga ta peaks õppima natuke vähem torisema.,õppima,torisema,gümn,Aga ta peaks õppima torisema .
1405,"Kes unistades armastab jälgida liblika lendu, kipub suuremat tähtsust omistama asjade ja inimeste välimusele kui sellele, mis on nende sisu või millest nad on tehtud.",kippuma,omistama,gümn,"unistades , kipub omistama ."
1418,"Ta kipub vahel kõiki inimesi heaks pidama, ehkki peaks meeles pidama, et nende hulgas on ka halbu.",kippuma,pidama,gümn,Ta kipub vahel pidama pidama .
2090,Õpilased valmistusid eksamit sooritama.,valmistuma,sooritama,gümn,Õpilased valmistusid sooritama .
2100,Õppige lõõgastuma!,õppima,lõõgastuma,gümn,Õppige lõõgastuma !
2376,Inimlaps õpib enne naerma kui rääkima.,õppima,naerma,gümn,Inimlaps õpib enne naerma rääkima .
2379,"Naer võib olla eneseküllane tegevus, naerma ei pea kellegi või millegi üle.",pidama,naerma,gümn,", naerma ei pea kellegi"
2482,"Kord peab muidugi karm olema, muidu see ei tööta, aga ma usun, et meie targad ja karmid ohvitserid saavad sellega ka hakkama.",saama,hakkama,gümn,", et ohvitserid saavad sellega hakkama"
2530,Hiidlane Helle Tikka oli piiratud nägemise tõttu sunnitud õppima uut moodi elama.,õppima,elama,gümn,õppima elama
2581,"Eesti heategevuskultuuri varajane arengustaadium peegeldub kohati selles, et inimesed kipuvad heategevust koondama üksnes jõuluaega.",kippuma,koondama,gümn,", et inimesed kipuvad koondama"
2583,"Paljud arengusuunad on praegu kinni ka selles, et eraannetusi kiputakse mõõtma üksnes rahas.",kippuma,mõõtma,gümn,", et kiputakse mõõtma"
2585,Samuti kiputakse alahindama väikese panuse osakaalu ja rolli tervikpildis.,kippuma,alahindama,gümn,Samuti kiputakse alahindama .
2698,Paljud algajad juhid hindavad oma sõiduoskusi üle ja kipuvad kihutama.,kippuma,kihutama,gümn,ja kipuvad kihutama
2813,"Need, kes arvuti ostnud viimase aasta jooksul, ilmselt eriti muretsema ei pea.",pidama,muretsema,gümn,Need ilmselt muretsema ei pea .
2816,"Need, kel kasutada vähemalt keskmine Eestis pakutav püsiühendusteenus, peaksid kenasti hakkama saama.",saama,hakkama,gümn,Need peaksid kenasti hakkama saama .
2952,"Referaadi eesmärgiks on omandada oskusi töötada kirjandusega (raamatute, artiklitega), õppida eristama olulist vähemolulisest ning arendada väljendusoskust.",õppima,eristama,gümn,", õppida eristama"
3189,Minister kipub otsustamist vajavaid asju oma mätta otsast vaatama.,kippuma,vaatama,gümn,Minister kipub otsustamist vaatama .
3196,"Erinevad arusaamad metsa rollist on loonud olukorra, kus erinevad huvigrupid üksteise visiooni eirama kipuvad.",kippuma,eirama,gümn,", kus huvigrupid eirama kipuvad"
3341,"Et loodust hoida, tuleb teda kõigepealt tunda ja mida süvenenumalt õppida loodust tundma, seda lähedasemaks ta meile saab.",õppima,tundma,gümn,ja mida süvenenumalt õppida tundma
3384,"Kaitsealal on olemas kõik, et loodust tundma õppida.",õppima,tundma,gümn,", et loodust tundma õppida"
3552,"Töö, pere, nüüd veel laps - tundub ju loogiline, et kõigega ei saagi enam hakkama?",saama,hakkama,gümn,", et kõigega ei saagi enam hakkama"
3553,"Siis ma mõistsin, et kui tema saab asjadega hakkama ja on seejuures rahulik, siis pean ka mina saama.",saama,hakkama,gümn,", et kui tema saab asjadega hakkama rahulik"
3784,Kuidas näitlejad rollidega hakkama said?,saama,hakkama,gümn,Kuidas näitlejad rollidega hakkama said ?
3785,Näitlejad said keeruliste ülesannetega suurepäraselt hakkama.,saama,hakkama,gümn,Näitlejad said ülesannetega suurepäraselt hakkama .
3799,"Ent söögiraha nimel nõustub ta müüma narkot ja see tõmbab ta sündmustesse, mida Rass ei suuda enam kontrollida.",nõustuma,müüma,gümn,Ent söögiraha nõustub ta müüma tõmbab .
4177,"Kunst on tekkinud juba kiviajal ja selle kaudu on inimene õppinud tundma elu ja iseennast, väljendama oma tõekspidamisi, elamusi ja suhtumist maailma.",õppima,tundma,gümn,ja selle on inimene õppinud tundma
4289,"Vaestekoolis valitsenud karmi režiimi tõttu põgenes 14-aastane Adamson sealt ja sõitis salaja Peterburi, kus siiski ei pääsenud õppima.",pääsema,õppima,gümn,", kus siiski ei pääsenud õppima"
4687,Õpi teistega hästi läbi saama - ole tõeliselt ustav oma sõpradele.,õppima,saama,gümn,Õpi saama
4711,Õpi loobuma!,õppima,loobuma,gümn,Õpi loobuma !
4789,"Muide, kaks viimast keskkooliaastat valmistusin minema bioloogiat õppima.",valmistuma,minema,gümn,"Muide , keskkooliaastat valmistusin minema ."
9903,Ma õpin lugema.,õppima,lugema,kl4,Ma õpin lugema .
10194,Miks pidi Karl õppima hakkama?,õppima,hakkama,kl4,Miks pidi Karl õppima hakkama ?
10680,"Pärast spordipäeva ma pean trenni minema ja pärast trenni mul ei ole jälle aega, sest siis ma pean õppima hakkama.",õppima,hakkama,kl4,", sest siis ma pean õppima hakkama"
12330,Kuidas ärevusega hakkama saada?,saama,hakkama,kl5,Kuidas ärevusega hakkama saada ?
12375,Minu meelest saite te väga hästi hakkama!,saama,hakkama,kl5,Minu saite te hästi hakkama !
12454,"Me oleme juba piisavalt suured, et ise endaga hakkama saada ja ka õpetajat hoida.",saama,hakkama,kl5,", et ise endaga hakkama saada hoida"
12575,Kuidas ma pealinnas hakkama saan?,saama,hakkama,kl5,Kuidas ma pealinnas hakkama saan ?
