lemma	POS	total
.	PUNCT	29862
,	PUNCT	19926
olema	AUX	17857
?	PUNCT	9152
ja	CCONJ	8783
mina	PRON	8303
sina	PRON	5466
see	PRON	4370
tema	PRON	4279
mis	PRON	4051
ei	AUX	3904
!	PUNCT	3693
et	SCONJ	3161
kas	ADV	2471
kui	SCONJ	2304
tegema	VERB	2064
ka	ADV	2060
minema	VERB	1778
see	DET	1751
siis	ADV	1731
kes	PRON	1552
oma	PRON	1485
tulema	VERB	1446
või	CCONJ	1394
saama	VERB	1369
nii	ADV	1347
aga	CCONJ	1339
pidama	AUX	1326
inimene	NOUN	1323
võima	AUX	1223
käima	VERB	1110
väga	ADV	1064
ning	CCONJ	1034
palju	ADV	1018
kool	NOUN	1013
üks	DET	1003
ise	PRON	968
saama	AUX	958
kuidas	ADV	934
aeg	NOUN	919
aasta	NOUN	906
-	PUNCT	901
hea	ADJ	884
tahtma	VERB	877
kõige	ADV	871
kus	ADV	858
Eesti	PROPN	845
laps	NOUN	810
miks	ADV	799
rääkima	VERB	749
päev	NOUN	741
meeldima	VERB	733
teadma	VERB	724
kodu	NOUN	714
suur	ADJ	699
arvama	VERB	684
hakkama	VERB	663
iga	DET	659
vaatama	VERB	651
õppima	VERB	647
olema	VERB	629
võtma	VERB	619
keel	NOUN	609
veel	ADV	598
panema	VERB	595
ära	ADV	580
kõik	PRON	574
miski	PRON	573
nägema	VERB	571
milline	ADJ	567
(	PUNCT	561
sõber	NOUN	560
tund	NOUN	555
)	PUNCT	554
töö	NOUN	552
ütlema	VERB	550
ema	NOUN	549
elama	VERB	528
juba	ADV	528
kell	NOUN	521
pärast	ADP	521
kõik	DET	517
välja	ADV	517
kirjutama	VERB	513
seal	ADV	509
sest	SCONJ	509
klass	NOUN	502
sööma	VERB	487
mängima	VERB	486
esimene	ADJ	485
õpetaja	NOUN	475
isa	NOUN	469
andma	VERB	465
kaks	NUM	462
hästi	ADV	461
rohkem	ADV	458
kui	ADV	456
nagu	SCONJ	452
sõitma	VERB	449
paluma	VERB	443
asi	NOUN	442
mõni	DET	440
uus	ADJ	434
õpilane	NOUN	429
:	PUNCT	415
küll	ADV	415
kord	NOUN	411
mitu	DET	411
täna	ADV	408
jääma	VERB	397
lugema	VERB	397
jah	ADV	391
ainult	ADV	390
nüüd	ADV	388
kasutama	VERB	377
elu	NOUN	372
oskama	VERB	368
suvi	NOUN	368
aga	ADV	367
alati	ADV	367
mitte	ADV	363
tundma	VERB	361
siin	ADV	359
mõtlema	VERB	352
teine	DET	349
praegu	ADV	340
väike	ADJ	339
kuid	CCONJ	337
ära	AUX	330
koht	NOUN	323
jõudma	VERB	320
leidma	VERB	320
vanem	NOUN	316
tere	INTJ	314
ostma	VERB	312
pidama	VERB	309
selline	DET	308
ju	ADV	300
kolm	NUM	294
keegi	PRON	292
raamat	NOUN	289
näiteks	ADV	288
aitama	VERB	286
eest	ADP	285
toimuma	VERB	285
tüdruk	NOUN	285
teine	PRON	284
eesti	ADJ	283
nimi	NOUN	283
millal	ADV	280
soovima	VERB	280
pere	NOUN	277
mõte	NOUN	275
juurde	ADP	274
kindlasti	ADV	272
juures	ADP	269
linn	NOUN	269
tavaliselt	ADV	267
kogu	DET	262
poiss	NOUN	262
ootama	VERB	256
raha	NOUN	255
mis_sugune	ADJ	254
õhtu	NOUN	251
just	ADV	244
sõna	NOUN	244
natuke	ADV	243
film	NOUN	241
koos	ADP	241
kokku	ADV	238
üle	ADP	237
osa	NOUN	236
peale	ADP	236
kohe	ADV	235
enam	ADV	234
vaja	ADV	231
tuba	NOUN	228
istuma	VERB	226
nädal	NOUN	225
ikka	ADV	224
muusika	NOUN	224
maa_ilm	NOUN	223
vana_ema	NOUN	220
ilus	ADJ	219
helistama	VERB	218
tore	ADJ	218
kuhu	ADV	217
tohtima	AUX	217
Tallinn	PROPN	215
valima	VERB	215
erinev	ADJ	214
käsi	NOUN	214
ei	ADV	212
ise	ADV	212
töötama	VERB	211
huvitav	ADJ	210
pikk	ADJ	210
algus	NOUN	209
meel	NOUN	209
tegelema	VERB	209
võimalik	ADJ	207
vana	ADJ	206
algama	VERB	205
pilt	NOUN	205
tooma	VERB	205
muidugi	ADV	204
tee	NOUN	203
hommik	NOUN	202
maa	NOUN	202
asuma	VERB	201
isegi	ADV	201
mets	NOUN	201
arvuti	NOUN	200
mees	NOUN	199
sobima	VERB	199
võimalus	NOUN	198
eriti	ADV	197
maja	NOUN	197
auto	NOUN	196
kuulma	VERB	194
kunagi	ADV	193
küsima	VERB	193
küsimus	NOUN	193
kuulama	VERB	192
liiga	ADV	192
jaoks	ADP	191
Piia	PROPN	190
loom	NOUN	190
pea	NOUN	190
kohta	ADP	188
mingi	DET	188
silm	NOUN	187
palju	PRON	186
läbi	ADV	185
juhtuma	VERB	184
riik	NOUN	184
üldse	ADV	183
koer	NOUN	182
kui	CCONJ	182
suurem	ADJ	182
kandma	VERB	180
kaasa	ADV	179
toit	NOUN	179
magama	VERB	177
milline	DET	177
tähtis	ADJ	177
ajal	ADP	175
enne	ADP	175
lihtsalt	ADV	175
raske	ADJ	175
telefon	NOUN	174
ega	CCONJ	172
parem	ADJ	172
edasi	ADV	171
maksma	VERB	169
tihti	ADV	169
aru	NOUN	168
viima	VERB	168
buss	NOUN	167
sünni_päev	NOUN	164
viis	NUM	163
viimane	ADJ	162
järgmine	ADJ	161
ette	ADV	160
trenn	NOUN	160
terve	ADJ	159
homme	ADV	158
püüdma	VERB	158
tegelikult	ADV	158
kuu	NOUN	156
mõni_kord	ADV	155
otsima	VERB	155
tekst	NOUN	155
armastama	VERB	154
loodus	NOUN	153
õige	ADJ	153
üles	ADV	153
jätma	VERB	152
päris	ADV	152
tagasi	ADV	152
probleem	NOUN	151
teater	NOUN	149
naine	NOUN	146
tänav	NOUN	145
selle_pärast	ADV	144
hoidma	VERB	143
näitama	VERB	143
sinna	ADV	143
kutsuma	VERB	142
täpselt	ADV	142
jooksma	VERB	141
koos	ADV	140
vastu	ADP	140
noor	ADJ	139
noor	NOUN	139
uskuma	VERB	138
teine	ADJ	137
küla	NOUN	135
vaid	CCONJ	135
esitama	VERB	132
kindel	ADJ	132
pool	NUM	132
vaid	ADV	132
Janno	PROPN	131
muu	PRON	131
tekkima	VERB	131
vesi	NOUN	131
laulma	VERB	130
oluline	ADJ	130
õu	NOUN	130
laskma	VERB	129
nimetama	VERB	129
selg	NOUN	129
suutma	VERB	129
kiri	NOUN	128
jalg	NOUN	127
sama	DET	127
umbes	ADV	127
eile	ADV	126
kartma	VERB	125
kaua	ADV	125
pakkuma	VERB	125
riie	NOUN	125
aitäh	INTJ	124
kiiresti	ADV	124
kinni	ADV	124
kümme	NUM	124
lill	NOUN	124
vaba	ADJ	123
vana_isa	NOUN	123
lubama	VERB	122
neli	NUM	121
vajalik	ADJ	121
vastama	VERB	121
tegevus	NOUN	120
vene	ADJ	120
Tartu	PROPN	119
eestlane	NOUN	119
hind	NOUN	119
põnev	ADJ	119
vist	ADV	119
alustama	VERB	118
muutma	VERB	118
muutuma	VERB	118
paremini	ADV	118
tähendama	VERB	117
vend	NOUN	117
kino	NOUN	116
korraldama	VERB	116
otsustama	VERB	116
parim	ADJ	116
jutt	NOUN	115
kust	ADV	115
muuseum	NOUN	113
tõesti	ADV	113
jälle	ADV	112
juht	NOUN	110
kallis	ADJ	109
kasvama	VERB	109
laud	NOUN	109
looma	VERB	109
no	INTJ	109
reis	NOUN	109
samuti	ADV	109
seisma	VERB	109
vähemalt	ADV	109
euro	NOUN	108
lahti	ADV	108
teema	NOUN	108
vanem	ADJ	108
halb	ADJ	107
hetk	NOUN	107
internet	NOUN	107
jalutama	VERB	107
maha	ADV	107
punane	ADJ	107
sisse	ADV	107
järgi	ADP	106
puu	NOUN	106
alles	ADV	105
ehitama	VERB	105
ilm	NOUN	105
minut	NOUN	105
hoopis	ADV	104
kolmas	ADJ	104
ega	ADV	103
kingitus	NOUN	103
sageli	ADV	102
abi	NOUN	101
arst	NOUN	101
hiljem	ADV	101
peal	ADP	101
põhjus	NOUN	101
võistlus	NOUN	101
proovima	VERB	100
soovitama	VERB	100
jooksul	ADP	99
pea_aegu	ADV	99
ees	ADP	98
kuna	SCONJ	98
lugu	NOUN	98
tulevik	NOUN	98
üli_kool	NOUN	98
info	NOUN	97
lisa	NOUN	97
pood	NOUN	97
puhkama	VERB	96
sündima	VERB	96
värv	NOUN	96
esinema	VERB	95
jooma	VERB	95
puhas	ADJ	95
ehk	CCONJ	94
huvitama	VERB	94
ilma	ADP	94
inglise	ADJ	94
kontsert	NOUN	94
lõpp	NOUN	94
suhtlema	VERB	94
varem	ADV	94
Soome	PROPN	93
nõus	ADV	93
pesema	VERB	93
Euroopa	PROPN	92
huvi	NOUN	92
juus	NOUN	92
jõulud	NOUN	92
oi	INTJ	92
selge	ADJ	92
joonistama	VERB	91
poole	ADP	91
siia	ADV	91
varsti	ADV	91
õpetama	VERB	91
arvamus	NOUN	90
etendus	NOUN	90
kõige_pealt	ADV	90
meeldiv	VERB	90
reklaam	NOUN	90
uni	NOUN	90
kahjuks	ADV	89
laul	NOUN	89
sport	NOUN	89
võib-olla	ADV	89
puhul	ADP	88
täiesti	ADV	88
järv	NOUN	87
kõrval	ADP	87
osalema	VERB	87
saatma	VERB	87
tegemine	NOUN	87
tugev	ADJ	87
õde	NOUN	87
üles_anne	NOUN	87
kroon	NOUN	86
pilet	NOUN	86
tuhat	NUM	86
tunne	NOUN	86
uks	NOUN	86
unistama	VERB	86
üle	ADV	86
kuuluma	VERB	85
mis_sugune	DET	85
perekond	NOUN	85
poolest	ADP	85
aken	NOUN	84
tervis	NOUN	84
paber	NOUN	83
tähtsam	ADJ	83
vähe	ADV	83
kirik	NOUN	82
mure	NOUN	82
sealt	ADV	82
õppimine	NOUN	82
lõpetama	VERB	81
olu_kord	NOUN	81
valutama	VERB	81
aja_leht	NOUN	80
ees_märk	NOUN	80
jagama	VERB	80
jalg_ratas	NOUN	80
meeter	NOUN	80
näitleja	NOUN	80
pall	NOUN	80
