verb	total
minema	1778
õppima	647
jätkama	19
otsustama	116
valima	215
nimetama	129
leiduma	29
soovima	280
astuma	68
olema	629
laienema	5
asuta=tud	5
kandma	180
meeldima	733
tundma	361
huvituma	8
õpetama	91
meelde_jääma	2
käima	1110
ise_loomustama	30
erinema	40
vahetama	52
kolima	24
harjuma	43
suhtuma	74
leidma	320
elama	528
rääkima	749
julgema	26
küsima	193
püüdma	158
alustama	118
selguma	24
tulema	1446
mängima	486
lootma	79
jagama	80
seisma	109
sattuma	67
suhtlema	94
võtma	619
panema	595
arvestama	52
kohanema	9
osuma	1
juhtuma	184
saama	1369
kritiseerima	6
maksma	169
tegema	2064
tunduma	79
nautima	38
jätma	152
teadma	724
vahelduma	9
lükkama	25
puhkama	96
muutuma	118
lugema	397
kirjutama	513
arenema	23
süvenema	14
tekkima	131
puuduma	48
sobima	199
rakendama	19
arvama	684
murdma	26
kaal	2
soovitama	100
avanema	14
hoidma	143
tutvuma	65
kartma	125
hakkama	663
osutuma	7
paranema	7
jääma	397
oskama	368
nägema	571
pöörama	53
muutma	118
kantma	1
torkama	7
märkama	57
kasutama	377
üllatama	15
ehmatama	13
ümbritsema	12
ütlema	550
pääsema	50
meikima	5
tooma	205
viibima	26
imestama	18
kestma	60
suurenema	21
vähenema	16
lahkuma	27
tahtma	877
saatma	87
osalema	87
hilinema	30
lisama	39
võrdlema	52
ununema	6
helisema	27
jää	8
töötama	211
spikerdama	3
kehtima	17
toimuma	285
sooritama	8
tohtima	16
valitsema	14
sööma	487
veetma	71
istuma	226
magama	177
ujuma	79
puutuma	27
mainima	24
nuuskama	6
luristama	1
vaatama	651
tõmbama	37
riietuma	14
hoolima	13
suitsetama	14
müüma	57
ulatama	9
puudutama	17
tantsi=v	7
laskma	129
korraldama	116
meenuma	10
jätkuma	37
tiirlema	3
kukkuma	63
avama	72
katkestama	4
tekitama	55
vaidlema	25
aitama	286
talitama	2
pidama	309
külastama	57
looma	109
kõnetama	1
lisanduma	11
jälgima	62
tegelema	209
ootama	256
unistama	86
kujutama	70
võimaldama	59
hindama	75
pakkuma	125
saavutama	43
armastama	154
huvitama	94
reisima	57
siduma	73
vähendama	36
teenima	46
andma	465
määrama	19
sõitma	449
mõtlema	352
mäletama	59
õnnestuma	26
meenutama	29
armuma	14
lõpetama	81
suutma	129
orienteerima	2
viima	168
soosima	1
kogema	12
tähendama	117
segama	54
järgnema	20
kuuluma	85
tasuma	52
jõudma	320
sündima	96
punnitama	1
näitama	143
kippuma	27
rõhutama	12
uskuma	138
laabuma	4
pingutama	8
säilitama	20
edasi_jõudma	1
lööma	51
teadvustama	4
tegutsema	47
eristama	8
teatav	1
kalduma	2
usaldama	22
korrigeerima	1
proovima	100
täitma	57
otsima	155
nõudma	71
päri=tud	1
mõjutama	75
kopeerima	1
kiitma	26
muretsema	65
laulma	130
istutama	10
ostma	312
käituma	41
pildistama	9
kaotama	48
austama	15
põletama	12
pärima	3
arendama	38
lahendama	45
leppima	30
põdema	14
jultuma	1
põhinema	6
lobisema	18
meeldiv	90
tungima	7
kasvama	109
surfama	9
asendama	15
riputama	10
paluma	443
ühendama	28
edastama	17
liituma	7
lõikama	43
meilima	1
sisestama	7
adresseerima	1
vajutama	17
vastama	121
installeerima	1
juhtima	29
eksisteerima	8
kuulma	194
kannema	1
projitseerima	1
arvutama	11
joonistama	91
töötlema	4
täiustama	2
tarvitsema	1
kujundama	25
teavitama	3
rahuldama	8
liitma	11
koostama	44
katsetama	10
tõusma	75
registreerima	13
paigaldama	8
lubama	122
küpsetama	31
asuma	201
järgima	17
liikuma	79
orienteeruma	6
tõttama	2
väsima	70
ehitama	105
tõstma	63
sõltuma	64
lühene=nud	1
tähistama	58
paigutama	17
mahtuma	20
väitma	11
unustama	76
nentima	4
esitama	132
algama	205
koguma	43
liigitama	1
valdama	14
hankima	11
tagastama	3
surema	27
kuluma	61
neelama	4
valmistama	71
leiutama	34
vallutama	3
transleerima	1
aimama	2
lendama	46
mahutama	3
väljuma	40
rikkuma	38
tüütama	9
peitma	14
eelistama	78
võitma	76
kehastama	5
võistlema	27
puhastama	28
vormima	5
uinuma	8
kinnitama	34
laadima	3
maandama	6
naasma	3
murduma	1
viilima	1
lebama	3
langema	25
treenima	18
kahetsema	11
planeerima	12
ärkama	64
venitama	2
lülitama	26
väärima	6
kutsuma	142
täituma	10
ilmuma	40
kuulutama	18
keema	3
keetma	20
ennustama	6
asetama	2
värvima	31
omistama	2
kraabima	1
veeretama	17
veerema	4
kiikuma	14
vilistama	7
hüüdma	12
kinkima	60
väljendama	34
pesema	93
katma	39
hõikama	1
meelitama	13
koristama	75
tabama	15
pühitsema	4
jooksma	141
tantsima	74
pistma	9
lähtuma	14
ilmnema	9
pruukima	8
pöörduma	36
reetma	6
pärinema	13
kostitama	1
kohtuma	50
tellima	35
teatama	39
söötma	17
valmima	9
helistama	218
reserveerima	2
sisenema	8
kulutama	63
ignoreerima	2
ajama	73
reageerima	18
mõjuma	35
vajama	71
paistma	50
sekkuma	3
lämmatama	1
tõmbuma	4
torisema	7
katsuma	19
lõppema	73
jutustama	42
tunnistama	18
hoiatama	8
ihaldama	4
uurima	53
selgitama	15
mõistma	59
nõustuma	9
ennetama	5
jahmatama	1
pahandama	12
kallistama	6
kordama	34
parandama	76
tüdinema	4
solvuma	10
avaldama	31
petma	5
kohtama	33
pahvima	1
teesklema	5
jooma	95
lahkuv	6
valama	11
sisaldama	35
lõpetamata	1
viisistama	1
kõrvaldama	6
pajatama	1
kuhjama	2
sõtkuma	2
pälvima	6
lehitsema	1
kaaluma	24
leppitama	1
tõlkima	18
asenduma	3
ratsutama	12
instrueerima	2
kuulama	192
pugema	8
voolama	18
tõestama	14
tarnima	2
läbima	16
rippuma	11
eeldama	9
koosnema	28
põhjendama	40
hoolitsema	50
matkama	34
jalutama	107
vabanema	9
suusatama	25
sadama	47
korjama	42
seisnema	8
kajastama	5
