verb	compound	total
õtlema		81
rääkima	ära	40
vaatama		2028
erinema		199
õppima		4668
kaebama	ära	38
tahtma		12002
lugema	kokku	12
õpetama		320
olema		4250
kaebama	välja	1
rääkima		3180
tegema		7784
saama		6893
teadma		4020
karjuma		83
laamentama		8
tulema	ette	19
hoidma		282
andma		1512
tapma		50
ütlema		3780
erenema		2
peksma		8
kittuma		3
lugema		809
kisama		2
käituma		184
kituma	ära	20
rääkima	välja	14
meeldima		8221
mürama		5
arvama		4928
kituma		38
kaktlema		19
kaebama		72
valetama		57
ropendama		5
lõhkuma		15
laamendama		33
ütlema	ära	56
imetlema		30
istma		1
mäletama		262
läikima		1
lõhuma		4
lõugama		3
nuusutama		2
kaima		71
tegema	ära	112
lõuama		1
kummitama		7
ütalema		1
soovima		1479
õpppima		7
kittuma	ara	1
puhkama		391
nägema		1203
kittuma	ära	3
kaklema		15
lõukama		2
kutsuma		1729
lõhkutama		1
oskama		1264
armastama		602
kituma	ara	2
tundma		985
arvutama		15
tekkima		1028
võtma		2447
lüüema	vastu	1
minema		4611
käima		3146
meeltima		2
lööma		39
neidi_metl		1
tegelema		1107
saabö_eld		1
tahtima		2
lubama		181
ütelema		59
lugema	ära	4
katlema		3
ö/õelma		1
kaevama		8
erinev		2
kumitama		1
pidama		391
utlema	ära	1
kakelema		1
hindama		121
lugema	üle	6
jooksma		465
lukema		1
huvitama		572
kaepama		1
tähendama		409
keelama		57
tohtima		14
tulema		3728
kaebabama		1
otsima		543
kargama		10
lõhutama		4
lõuatama		3
leidma		1352
lõhuma	kallale	1
lähdma		1
kakeltama		2
kartma		307
teatma		19
kiusama		12
kasima		1
võtma	vastu	35
kaevama	ära	2
kaebama	peale	1
lärmama		9
reetama		2
kekuvaatama		1
jutustama		797
vaadama		6
mõtlema		2464
laamendam		1
teretama		1
löödma		1
kutsima		6
tigetsema		3
maadlema		2
vataama		2
algama		1830
märatsema		1
müratama		1
muratama		1
lõhkuma	ära	1
müratsema		1
lõbutsema		25
kurjustama		1
lärmatama		1
norima		3
kiitma		33
pahandama		7
hirmutama		4
harima		22
õpet		1
ulema		2
narrima		4
vaadata.		1
kaepama	ära	1
togtima		1
toimuma		5945
tervitama		701
räkkima	välja	1
vadama		9
urima		5
vaatama	maha	1
tahdma		1
kõhtuma		1
kiuskama		7
ullu		1
tea		1
minema	tülli	8
hakkama		2118
halb	ära	1
ütluma		1
tgema		3
ütlema	välja	17
õpitama		15
kiskama		1
kaelagargama		1
üllema		1
võima		40
räkima		57
lõppema		830
sööma		1307
jooma		580
helistama		559
kirjutama		3618
ootama		2982
korraldama		559
hüppama		337
mängima		3396
teme		4
lõppuma		24
kutsutama		29
hüpama		21
lõpetama		1153
kodus,mängima		1
olema	vaja	2994
jalutama		948
plaanima		39
suplema		33
ujuma		225
sõõma		4
hupama		1
mängima,mängima		1
mahla.uma		1
võtma	kaasa	760
ostma		445
paluma		879
batuudil,mängima		2
vatama		50
hellistama		2
torti,mangida,räkima		1
kudsuma		2
batuutis,jooksta,mängima		1
lootma		979
mängema		6
küpsema		2
otama		34
hüppa_me,joom		1
tantsime,mängima		3
jööma		10
tervistama		2
ilustama		1
kestma		731
kutse		19
tantsima		221
vestlema		130
laulama		47
tantma		86
joonistama		327
saama	kokku	92
löppema		7
ronima		30
juhtuma		587
in		1
küpsetama		15
naeratama		28
Anna		14
panema		1101
vötma		5
sõitma		1577
kino		2
käima	edasi	8
tullma		4
asuma		450
tooma		513
alustama		441
lootama		2
tantsime,mängime,laulma		1
kuulama		1608
köögima		4
jääma		1340
lõbustama		10
küsima		808
kustsuma		2
mängida,rattama		1
jalgpalli,jalutama		1
tantsime.ootama		1
hüüpama		12
kohtuma		551
frii		1
laulma		448
sõõtma		1
uskuma		275
toumuma		1
lõbema		6
pakkuma		1404
teatama		108
lõbutsema,mängima		1
jook_seme,hüpa=me		1
.võtma		2
helista		2
mulle.ootama		1
.ootama		4
planeerima		208
kartiga,sööma		1
suhtlema		1269
peal,_mäng		1
kalima		9
.algama		2
mangima		105
26.märtis,toimuma		1
äitäh		26
laud		2
sõber,kutsuma		1
!algama		1
!võtma	kaasa	3
jooksime,mängi_me,süüam		1
kprraldama		1
läahme_mängima		1
lõptma		1
nägima		19
laserrelvadega.ootama		1
liikuma		95
kingima		9
aega,ootama		1
hüpdma		12
uisuda.ootama		1
toimuma	kohal	1
tulema	sisse	6
panema	kinni	27
saama	välja	11
põgenema	ära	1
süjama		1
mine		1
tuul		1
sööama		1
joome_,sööm		1
hüpa_me,jook		2
kutsus		1
valmistama		226
vastama		416
jääma	rahul	52
viima		170
soööma		1
võistlema		30
tooma	kaasa	176
helistama	vaja	2
kutuma		2
thama		2
äitah		7
!ootama		5
mängime,hüpama		1
juures,sööme,ostama		1
mängime,jalutama		3
melähe		2
mänge.ootama		1
proovima		836
disco.ootama		1
tahsma		2
jubama		1
puhastama		18
söma		1
kingitusi.kinkima		1
sööme,naerame,jalutama		1
leppema		1
naerama		13
jõudma		624
riietuma		31
võtma	kaasa, kaasa	1
nalja,ronima		1
broneerima		9
allistama		1
mängime_,tantsime,sööm		1
uurima		137
vastutama		146
päevitama		30
tulla,helistama		2
mände		1
tanma		12
,ootama		1
mändima		5
küpsem		1
kostma		8
vaaama		1
pidutsema		9
kutsuda.ta		1
sööme,mängima		2
.võtma	kaasa	6
teegema		5
veetma		635
tule,_siis		1
lõppetama		68
sulle,kutsuma		1
joo		1
kavatsema		164
Otan		4
mahla.tulema		1
mängime,ujume,teedma		1
unustama		369
elama		3585
hakama		45
süüja,tantsima		1
laskma	alla	1
kuivatama		2
hekistama		1
kutsama		2
pildistama		140
kinkima		45
peo		2
loppema		2
kuulatama		4
mängime,jalutame,tantma		1
lõbutsema,sööma		1
uisutama		21
uisuplatsil,mängima		1
võtma	vaja, kaasa	2
peol,ma		1
,vaatama		3
süüma		8
alguma		3
paluma	kaasa	2
räägima		152
vottama	kaasa	2
kogunema		29
tulema	kohale	18
häpdma		1
süüdma		7
tantsid_a,kuula		1
,hüppama		4
helestama		5
tantsi_me,laulame		1
tuli		17
sööma	täis	3
näitama		561
,paluma		1
aldama		1
hüppame,mängima		1
juua.paluma		1
ei.ema		1
pana		2
ottama		2
lahm	tagasi	1
kutsustama		3
olema	nõus	1289
kordama		42
mängida,tantsida,,lemmikmuusikat,kuulama		1
.lootma		1
võttama		83
tantsime.paluma		1
mängida,joonistama		1
kutsema		7
robi_n,tahan		1
koostama		81
tantsime,jalutame,laulame,võtama		1
mängime,joonistama		1
andma	nõuse	1
jooksuma		2
sööma,mängima_,jalutam		1
vasta		3
mängi_me,tantsime		1
boulingis,sööme,laulama		1
suheldama		20
albama		1
mõtlema	välja	97
,mänis		1
tutvustama		468
kahetsema		22
ratsutama		9
jääma	kokku	1
vaafama		1
kusuma		1
maitsma		29
kinos,jalutama		1
mängima,tantsida,jalutama		1
sõidama		12
muusika,tantsima		1
teama		163
kursuma		1
juttustama		21
mänge.kuulama		1
lõbetama		1
kooksima		1
vaatema		4
ööbima		303
lõppima		3
,sööma		1
fanta		1
torti,vaatama		1
lsõitma		1
sööme,tantsime,mängima		1
viinerima		1
mängdama		1
,tegema		1
osta.paluma		1
sööme,joome,mängima		1
lalulama		1
jalu_teme		1
tansima		23
unus_tanud,e		1
küsimused,helistama		1
tansime,laulame,sööme,rääkima		1
jooonistuma		1
tantsime,laulame,mängima		1
tantsime_,mangim		1
Tuli.kuI		1
toivuma		1
mängime,sööm_e,jooksim		1
lõbu_same		1
sõõm		1
kuttsuma		1
küpsetsetama		1
kookema		1
mängime,joonistame,jalutame,laulma		1
,tanma		1
Evelin		1
joome		1
sõitama		23
akkama		6
vaadfama		1
nele		1
suhtle_me,joom		1
jaalutama		2
kutsma		2
sööma,mängima		1
mangida,laulda,joonista_da,tans		1
tantsime,laulame,sõitma		1
jalgrataga,joonistama		1
maitsev		5
minema	tagasi	33
tahama		35
mangi_me,söö		1
lõbuma		2
võtma	kaasas	7
aprillil.hakkama		1
12.00,lõppema		1
30.toimuma		1
tellima		49
mämgima		1
minema	sisse	4
juuni.alguma		1
hüppama	peal	1
teenema		1
veebruaril.hakkama		1
uisutama,_lähme		1
tuimuma		3
,mängima		3
sõitma	koos	5
mängi_me,tants		1
esinema		821
püama		1
mänguasjadega,mängima		1
kulli,_mäng		1
mahtuma		38
mägima		3
süüame,suhtlema		1
laskma		131
tema		11
tähistama		51
küsimusi,helistma		1
tahema		3
sõidma		91
mängi_me,tansime		1
sööema		1
hminema		1
lõpema		23
lähem		6
maksma		1223
museumi,_vaatama		1
riietama		7
teema		20
ketsima		1
minema	välja	32
vaatama	peale	2
mängma		6
kandma		74
räägitama		2
seisma		131
kirjuma		9
Jalutame.pane		1
hommema		1
jooonistama		1
püks		7
tervek_s.hi		1
sööma	kaasa	3
kyidama		1
laht	taha	1
jalutame,mängima		2
javaatama		1
panema	ära	6
mõttlema		16
sõjtima		1
tulema	tagasi	127
sõdama		3
eksponaatid_,mängima		1
sõitme		1
viktoriini,vaatama		1
tegima		46
klasslahema		1
ostama		12
töötama		1919
jooksma	ära	15
jõud		1
sündima		326
lahme		1
matkama		82
lahm		7
vottama		3
sadama		45
kulama		2
veema		9
loomaaeda.tagama		1
koolis.algama		1
votma	kaasa	2
näme		1
kindama		2
klass_sõit		1
sõitma	edasi	2
rietuma		1
jope		1
saam_ejalutama		1
pandma		15
saame_tutv		1
mevaatama		4
ka.tervitama		1
palli,hüppama		1
onerinema		1
panema	järgi	1
paistma		53
linnu_vaatam		1
hommetoimuma		1
vattama		2
teade		27
loom		3
näima		18
koguma		77
jaletama		1
mängime,_rääkime		1
pluus		1
jalg		1
näema		10
või_leib		2
katsuma		11
jäätma		23
psnna		1
mapanema		1
sõitsimetartuma		1
maksma	ära	12
.kohtuma		2
,sõitma		1
väljuma		15
tutvuma		504
külastama		454
sobima		502
bussiga.alustama		1
kohtama		61
lõppetama	vaja	1
peatuma		20
müts		1
ekskursiooniset		1
mugama		5
riided.ootama		1
kõndima		62
õpetaja_hakkab		1
äme,mängima		1
kontuma		1
vaatame,_kuit		1
kampsuma		6
kirjutama	tagasi	50
jäätis,_sõida		1
kassama		1
,pane		1
basein_is,mäng		1
vätma		1
jaluma		5
ehitama		84
Jalutada.Panen		1
teatema		2
ootama	vastu	28
klassiõpetajakorraldama		1
panema	kaasa	1
riidema		2
värvima		21
avama		562
kinno,mängima		1
õppema		18
jalä_heme		1
panema	vaja	1
kokkuma		4
toimub12.05,alustama		1
kuulasime,vaatama		1
millessinu_meeldib		1
klassistulema		1
päästma		49
minna.pane		1
raakima		11
mekäima		1
asubvana-linnas.loomama		1
kirjuta,mima		1
joop		1
mejalutama		2
lõuna		1
mel_ähme		1
arutama		36
tegutsema		54
tead,et		1
me:jalutame,sööme,mangime,käima		1
saabas		2
Mängime,jooksime,hüppAtame		1
algumiseni_sõidame		1
linna_sjalutama		1
jõuma		2
rägima		13
klass_läht		1
keslähtema		1
lõikama		13
huppama		6
kirjatama		4
käime,mängima		2
tanäma		2
soitma		9
kutsuma	kaasa	170
misalgama		1
kaksma		1
lodama		1
palunhelistama		1
meisterdama		12
lahima		2
jalutada,rääkima		1
küsida,paluma		1
tahadmima		1
sapanedp_üks		1
tosuma		1
KuulaTa.ma		1
koosvõtama		1
mängime,joonistame,kirjutame,vaatama		1
Sõber,Denis		1
jalutame,koristama		1
minema	koos	12
,panema		1
seletama		169
jaluta_me,sööm		1
sõitma	tagasi	41
vaaatama		1
ööma		1
pannamustama		1
mängisime,kirjutama		1
panima		3
jasu_htlem		1
mängime,kuulame,suhtlema		1
joonistame.paluma		1
palun		1
sõda		1
loomi,jalutama		1
istuma		465
tänama	ette	45
jajoonistama		1
jonistama		5
laht		1
esitama		128
räguma		1
jajalutama		1
soovitama		145
aitama		1941
pildil,jonistame,mängima		1
planetaariumis,vaatama		1
saabuma		24
vaadata,mängima		1
osta.arvama		1
teathama		1
joonistame.pane		1
mängime,vaatama		1
annnama		1
täitma		51
mängimeerinema		1
kasvama		246
peame_panema		1
joonistada,jalutada,mängida,kuulama		1
soe		2
ojtama		1
huvita_b,siis		1
mailtoimuma		1
kontaktima		7
korjama		98
jaotama		4
toimma		1
palli,jalutame,korjama		1
pane		1
riie		1
näitlus,vaatama		1
sabuma		1
:vaatama		1
liiv		1
pildistame.ma		1
külatstama		1
jalutame,vaatama		1
pannema		5
siduma		1002
sõitma	välja	18
naitama		8
võttama	kaasa	8
muuseumisse,vaatama		1
tea,mima		1
mängi_me,tee		1
,hakkama		1
kummik		1
tänama		293
jälutama		7
tulema	üle	1
kamsuma		1
tomuma		4
loomadele		1
glaasist.ma		1
võtama		13
ujume,mängime,jalutame,söödma		1
jalutame.paluma		1
minema	vaja	27
panete,ema		1
lahema		21
minama		1
heleneg		1
antma		12
süüjama		2
kuulma		536
otsustama		447
paagima		1
võipma		1
või	kaasa	1
süa		1
tanama		9
tooma	kaasa, kaasa	1
puuduma		184
jooma	kaasa	3
võitma	kaasa	2
jook_sime,mängi=me		3
jooksima		63
utlema		7
vötma	kaasa	8
löpetama		1
saolima		1
pliatma		1
spordipäevtoimuma		1
võtama	kaasa	5
staadioniltoimuma		1
seealgama		2
tuulma	kohale	1
jooksime		3
mängime,jooksime		1
sööia		1
puudma		5
võtma	.kaasa	4
seetoimuma		1
olima		5
joksma		4
toimuma	kõrvale	1
puudima		1
olema	kaasa, vaja	6
kaasama		7
täpsustama		141
võtta_,mid		1
mail.toimuma		1
pidama	kaasa	3
jalutama	koos	3
võõtma	kaasa	1
puudutama		40
jookseme,hüppama		1
õppi,pannema		1
hupema		1
hea		6
osten		1
sportsaalistoimuma		1
mängida,joostma		1
votama	kaasa	1
toimuma	üles	1
söötma		3
osalema		1277
võtma	ära, kaasa	1
võilema		1
peama		1
võtma	kaassa	1
kavama		6
tegetsema		1
kavatma		4
hilineskima		1
ütlema	edasi	2
mängisima		2
naerma		29
panema	peale	6
teadma	jooksa	1
viskama		129
11.00.toimuma		1
jooksama		7
6_8.algab		1
registreeruma		29
sooma		4
tõukma		1
rulema		1
värsema		1
andama		5
heitma		9
teankuhtuma		1
loterii		1
jooks		6
unistama		88
tolmuma		1
asuma	juures	1
teatejoks,mängima		1
puduma		2
mai.tulema		1
kava		2
võitma		1007
hüppema		4
:mängima		1
jooks_ma,h_üppama		1
kuul		1
tõukama		5
jüüdma		2
võõtma		2
toimuma	vaja	2
meuisutama		1
kaasa.ma		1
registrerima		5
nahama		1
autosustama		1
tegama		21
tea,agama		1
saa.kaasama		1
alagama		1
muugama		2
sõitama	vaja	1
-mängima		1
,tantma		2
lulama		1
tahtma	vaja	1
Teha.oN		1
ütllema		1
võtma	koos	2
mängime_,uisutam		1
naer		1
hästiorganiseerima		1
riutama		1
tuled,paluma		1
puut		1
süda		2
sportima		11
möngima		1
müüma		91
erenima		1
viaskama		1
mmängima		1
hüpame		1
saama	kohal	2
suhelda=.sa		1
.saama	kokku	1
–kirjutama		1
tulema	kaasa	25
jooksma,hüpama,viskama		1
jüüma		4
tojmuma		1
tullma	tagasi	1
võtma	tagasi, kaasa	1
teavitama		17
,votma		1
puutuma	kokku	115
valima		1663
vajama		373
parandama		330
kasutama		728
tegema	edasi	29
harjutama		45
kandma	ette	1
laulma	kaasa	18
