verb	total
olema	633787
ignoreerima	186
võima	50033
võitma	3086
toimima	1452
ei	168446
teadma	28828
tulema	47480
kasutama	15838
juhtima	2786
kirjutama	8940
üritama	2347
tooma	11680
jutustama	1017
loobuma	1864
lugema	7841
võrdlema	5697
rääkima	17946
realiseerima	473
töötama	5427
rahuldama	816
täiendama	820
jõudma	11999
tegema	43763
vältima	1595
lõpetama	3982
uurima	5031
täitma	3680
tootma	983
jätkuma	2245
nappima	199
suurenema	2400
viima	8505
õpetama	1968
pidama	55149
siduma	5719
seadma	2300
tekkima	7131
valdama	531
oskama	5686
tunnetama	521
vähenema	2081
kannatama	1369
saama	73733
koostama	1836
identifitseerima	221
integreerima	255
evima	109
käima	12963
eeldama	1898
tabama	1840
tulenema	1225
tagama	2511
tekitama	3525
vastama	7116
järgima	902
sätestama	1029
eksisteerima	984
innustama	158
lahendama	1360
leidma	16294
vajama	3748
seisnema	898
omama	1569
muutuma	7979
algama	4907
kehtestama	1296
saavutama	2492
pakkuma	6616
põhjendama	1454
õnnestuma	2450
lootma	3782
nimetama	6729
hakkama	23485
domineerima	532
sõltuma	3505
määrama	4138
suutma	7955
langema	3293
rikkuma	1203
ujutama	72
viitama	2383
moodustama	3872
looma	6407
püüdma	6845
kahjustama	667
tegelema	3124
iseloomustama	1836
koordineerima	159
suhtuma	1075
algatama	577
kaasama	501
tõstatama	208
kujutama	2982
kirjeldama	3347
tähendama	7206
tutvuma	715
tuginema	972
muutma	4894
rakendama	1997
halvama	88
purustama	344
suunama	1866
andma	25273
esinema	5737
osalema	2500
varustama	591
kõrvaldama	364
käivitama	470
jagama	2882
pommitama	106
korraldama	3150
soovitama	2362
alistuma	136
saatma	5200
kaitsma	1768
mängima	5138
kavandama	624
eelnema	403
toimuma	8210
osutuma	2451
kaduma	4416
arenema	1578
korvama	137
huvitama	1832
arvestama	4529
lähtuma	2629
võitlema	1185
pöörama	2757
tundma	13925
mõjutama	3711
panema	15165
sokutama	158
elustuma	57
nägema	20614
monteerima	75
nakatama	110
tungima	784
rändama	418
süstima	149
näima	4249
ilmnema	1910
genereerima	216
asetama	1047
hävima	298
puutuma	1384
sooritama	842
levima	1597
kahanema	369
kaugenema	106
indutseerima	85
kutsuma	4779
kaitsema	432
sisaldama	2714
piisama	1252
pingestama	44
säilitama	1299
piirama	1436
demonstreerima	375
ulatuma	1468
küündima	325
suruma	1821
transformeerima	37
esitama	6875
lihtsustama	285
sobima	2861
ümbritsema	473
katma	1480
fikseerima	758
süütama	517
lühistuma	1
sattuma	3061
lülitama	596
võimaldama	3846
vähendama	2325
ületama	1960
fokuseerima	39
soovima	4485
hävitama	664
lõhkema	105
kavatsema	2218
aretama	140
sööma	3707
õgima	95
külvama	329
jälgima	2585
ehitama	2508
fotografeerima	26
lendlema	62
nuhkima	58
piserdama	53
reageerima	752
reetma	340
testima	300
võtma	26817
kajastama	501
kuvama	81
aitama	5800
ründama	708
teatama	4604
digitaliseerima	12
ühendama	1412
tahtma	20533
lisanduma	1104
asetsema	166
tunduma	5730
sarnanema	662
saabuma	2137
kippuma	1184
jääma	26935
valima	5568
puudutama	1953
oletama	1087
asendama	1016
orienteeruma	172
hajutama	151
toetama	3037
jätma	8171
väitma	3675
tõkestama	95
õrritama	71
maskeerima	55
kindlustama	769
pruukima	1452
kahtlustama	635
ütlema	36873
nurjama	47
kompima	41
arvama	13527
pöörduma	2222
kandma	5125
kujunema	2653
ilmutama	430
üllitama	50
märkima	4111
seonduma	358
surema	3466
mõtlema	13596
vaatama	16270
analüüsima	2096
peegeldama	562
kohandama	256
suurendama	1955
piirduma	915
käsitlema	2997
paigutama	843
esindama	1210
arendama	1109
valmistama	1999
peatuma	1318
kuuluma	6176
redigeerima	40
põhinema	1123
seostama	801
koosnema	1472
salvestama	464
registreerima	1163
sängitama	29
sisestama	215
vaatlema	1791
arvutama	938
häälestama	66
organiseerima	463
laskma	7614
kontrollima	2092
taanduma	441
klõpsama	46
joonestama	6
küsima	9929
ostma	4683
peatama	684
puistama	226
ilmuma	4574
determineerima	69
leiduma	2445
alustama	4421
istuma	6877
objektiviseerima	10
mõõtma	1358
kaaluma	1182
tähistama	1542
tõestama	1405
tõusma	5342
järjestama	125
leppima	1485
veenduma	810
tarvitsema	302
edastama	644
korrutama	140
paarima	3
liitma	441
defineerima	628
avalduma	809
kõnelema	1515
näitama	9406
rihtima	26
normeerima	33
sõnastama	373
otsustama	5315
trügima	225
kogunema	1003
jaotama	630
lahutama	648
laenama	515
kartma	3469
suhtlema	910
tutvustama	1252
lubama	5899
avaldama	3669
tunnustama	791
sulgema	1439
keskenduma	1138
kasvama	4372
tõstma	4357
kiitma	1468
arutama	1589
tegutsema	1914
väljenduma	674
käivituma	278
jätkama	3158
korrastama	268
plaanima	455
avama	4035
investeerima	501
rajama	1194
edendama	162
kiirendama	277
soojendama	195
vahetama	1998
laienema	524
asuma	5226
sundima	2217
vormistama	367
liikuma	3712
hoidma	6237
trükkima	442
toimetama	760
täpsustuma	20
prognoosima	387
ohjama	43
imama	44
eraldama	966
talutama	107
laiendama	566
lisama	5389
toetuma	953
ootama	7814
küpsema	132
tasuma	2002
evitama	20
sündima	2957
otsima	5227
kohtama	1085
reklaamima	247
harima	399
teavitama	371
kaotama	3192
säilima	861
mööduma	2322
pärinema	1106
kõlama	1590
osutama	1498
tuletama	1014
astuma	5432
viljelema	70
lõpma	530
tingima	1396
tõmbama	3763
kuulma	6886
kukkuma	2292
kontsentreeruma	35
soodustama	786
lööma	4059
tuvastama	594
ringlema	91
täiustuma	26
krüptima	9
teisendama	70
töötlema	505
taastama	652
sisalduma	614
kuulama	3089
selguma	3972
emiteerima	37
varjestama	3
piiluma	373
ammutama	154
avastama	1871
nõrgendama	52
peegelduma	337
kiirguma	9
noppima	162
eristama	1769
kanduma	319
eralduma	176
täheldama	712
kuduma	117
kehtima	1794
vananema	234
varjama	1455
paigaldama	303
rekonstrueerima	105
salastama	48
puuduma	4004
sertifitseerima	23
paiknema	804
valitsema	1446
reguleerima	693
hõlmama	1088
volitama	154
projekteerima	127
karistama	727
keelama	1432
eksportima	111
riskima	410
elama	9228
lõppema	2527
mõistma	4795
nähtuma	571
monopoliseerima	12
omandama	1347
takistama	1102
planeerima	468
hankima	553
tohtima	4323
rõhutama	2211
kuulutama	1602
kujundama	970
orienteerima	235
nõudma	4945
välistama	1064
ahvatlema	104
proovima	1897
ennetama	140
osatama	122
disainima	55
raiskama	308
printima	27
määratlema	951
jagunema	620
importima	107
skaneerima	11
moodustuma	540
baseeruma	159
rakenduma	114
peitma	764
aktiveerima	99
punktima	3
nummerdama	37
järgnema	2089
liituma	548
juhtuma	4616
paigutuma	77
pagema	180
rippuma	758
mõjuma	1840
kustutama	632
püüdlema	141
tarbima	305
hindama	4224
kõhklema	250
moonutama	137
garanteerima	296
mainima	1472
katkema	394
varieeruma	462
hilinema	195
parendama	35
informeerima	344
läbima	1208
reserveerima	61
lükkama	2147
hargnema	136
modifitseerima	93
klassifitseerima	121
diferentseerima	71
standardiseerima	61
spetsifitseerima	10
praktiseerima	78
käituma	1166
teostama	968
varieerima	94
interpoleerima	5
lämmatama	99
kombineerima	315
aktsepteerima	430
julgema	1582
leevendama	321
ära	3202
tappima	114
kasvatama	1279
kritiseerima	367
õppima	4009
ummistuma	27
mitmekümnekordistuma	1
tellima	1077
halvenema	210
maksma	6780
rahastama	187
kurtma	688
vabanema	683
teenindama	255
kaebama	580
tajuma	1178
tapma	1656
külmuma	145
muundama	64
põhjustama	2633
tõlgendama	519
eemaldama	595
uinuma	211
petma	561
selgitama	3746
tõrjuma	546
väljuma	820
käskima	809
nentima	1319
lakkama	307
nõustuma	1245
kopeerima	145
assisteerima	11
häirima	901
minema	33384
erinema	1532
tõlkima	779
tugevdama	340
kostma	1849
valmima	1029
levitama	333
rinema	1
tühistama	311
uuendama	184
laadima	261
rituma	3
produtseerima	119
väljastama	312
haldama	120
signeerima	40
publitseerima	137
märgendama	52
avalikustama	306
püstitama	623
ohustama	325
kahandama	130
klappima	198
pärima	1083
järeldama	704
konstrueerima	280
lõikuma	89
