verb	compound	total
olema		622493
ignoreerima		186
võima		50013
võitma		3010
toimima		1434
ei		168446
teadma		28566
tulema		40695
kasutama		15164
juhtima		2677
kirjutama		7689
üritama		2343
tooma		7347
jutustama	ümber	29
loobuma		1859
lugema	läbi	221
võrdlema		5685
rääkima		17240
realiseerima		468
töötama		4336
rahuldama		810
täiendama		818
jõudma		10745
tegema		40468
vältima		1586
lõpetama		3852
uurima		4785
täitma		3648
tootma		956
jätkuma		2230
nappima		199
suurenema		2391
viima	sisse	94
õpetama		1920
pidama		53595
lugema	üles	108
siduma		5507
seadma		1894
tekkima		7044
valdama		527
oskama		5673
tunnetama		510
vähenema		2072
kannatama		1133
saama		68451
koostama		1829
identifitseerima		219
integreerima		254
evima		109
käima		10790
eeldama		1894
tabama		1756
tulenema		1223
töötama	ümber	24
töötama	välja	787
tagama		2503
tekitama		3499
vastama		7088
järgima		898
sätestama		1028
eksisteerima		968
innustama		156
lahendama		1329
leidma		15644
vajama		3729
seisnema		898
omama		1561
muutuma		7950
algama		4864
kehtestama		1293
saavutama		2475
tooma	esile	688
pakkuma		5966
põhjendama		1440
õnnestuma		2442
lootma		3758
nimetama		6656
hakkama		22571
domineerima		530
sõltuma		3500
määrama		3961
suutma		7933
langema		2613
rikkuma		997
ujutama	üle	28
viitama		2375
moodustama		3789
looma		6064
püüdma		6609
kahjustama		665
tegelema		3098
iseloomustama		1829
koordineerima		159
suhtuma		1071
algatama		570
kaasama		499
tõstatama		207
kujutama		1776
kirjeldama		3325
tähendama		7127
tutvuma		709
tuginema		971
muutma		4833
rakendama		1965
halvama		85
purustama		337
suunama		1776
andma		22093
esinema		5698
osalema		2454
varustama		589
viima	välja	215
kõrvaldama		363
käivitama		470
jagama		2669
pommitama		98
korraldama		3060
soovitama		2352
alistuma		136
saatma		4547
kaitsma		1752
mängima		4745
kavandama		614
eelnema		403
toimuma		8156
osutuma		2442
kaduma		4085
arenema		1437
korvama		136
huvitama		1826
arvestama		4424
lähtuma		2625
võitlema		1096
pöörama		2307
kasutama	ära	596
tundma		12521
mõjutama		3705
panema		11634
sokutama		141
elustuma		57
kujutama	ette	1200
nägema	ette	1423
monteerima		45
nakatama		109
nägema	välja	1001
tungima	sisse	45
rändama		313
süstima		137
jõudma	kohale	293
näima		4188
ilmnema		1905
genereerima		215
asetama		982
hävima		293
puutuma	kokku	431
sooritama		835
levima		1571
kahanema		368
kaugenema		106
indutseerima	välja	1
kutsuma	esile	464
kaitsema		428
sisaldama		2695
piisama		1247
pingestama		43
viima		6098
säilitama		1297
piirama		1393
indutseerima		84
tungima		574
demonstreerima		374
ulatuma		1381
küündima		320
suruma	kokku	65
transformeerima		37
esitama		6842
lihtsustama		284
sobima		2708
ümbritsema		472
katma		1386
fikseerima		749
süütama		515
suruma		1172
lühistuma		1
sattuma		2878
lülitama		221
võimaldama		3844
vähendama		2319
ületama		1949
fokuseerima		39
soovima		4469
hävitama		638
lõhkema		103
kavatsema		2207
aretama		135
sööma		3248
õgima		79
külvama		305
jälgima		2543
ehitama		1970
fotografeerima		24
lendlema		60
nuhkima	välja	17
piserdama		49
reageerima		750
reetma		337
testima		296
võtma	vastu	2035
kajastama		498
kuvama		81
aitama		4913
ründama		697
teatama		4529
digitaliseerima		12
ühendama		1395
tahtma		20316
lisanduma		1095
asetsema		164
tunduma		5718
sarnanema		661
saabuma		2056
kippuma		1125
jääma		21934
valima		5080
puudutama		1939
oletama		1086
asendama		1014
orienteeruma		163
hajutama		147
toetama		3009
tooma	kaasa	1277
jätma		6174
väitma		3651
tõkestama		94
õrritama		68
maskeerima		53
kindlustama		764
pruukima		1435
kahtlustama		634
ütlema		35820
nurjama		47
võtma	ette	913
kompima		38
arvama		12567
pöörduma		1772
kandma		4357
kujunema		2240
ilmutama		425
üllitama		50
märkima		3891
lugema		6621
seonduma		358
surema		3158
mõtlema		12152
vaatama		12447
analüüsima		2065
peegeldama		533
kohandama		253
suurendama		1944
piirduma		914
käsitlema		2987
võtma		18342
paigutama		775
esindama		1204
arendama		809
valmistama		1439
peatuma		1309
kuuluma		6040
redigeerima		38
kujutama	valmis	1
põhinema		1121
seostama		799
koosnema		1464
salvestama		450
registreerima		1132
sängitama		29
sisestama		213
vaatlema		1774
arvutama		821
häälestama		62
organiseerima		456
laskma		5838
kontrollima		2017
taanduma		435
klõpsama		36
joonestama		6
küsima		9685
ostma		4136
olema	rahul	1058
korraldama	ümber	52
peatama		675
puistama		192
ilmuma		4265
determineerima		69
leiduma		2432
nägema		17810
alustama		4368
istuma		6417
tooma	sisse	278
objektiviseerima		10
mõõtma		1295
kaaluma		1066
tähistama		1535
tõestama		1388
tõusma		4501
järjestama		117
leppima		726
veenduma		807
tarvitsema		302
edastama		636
korrutama		130
paarima		3
liitma		387
vaatama	otsa	1043
võtma	kokku	610
defineerima		616
avalduma		806
kõnelema		1490
näitama		8829
rihtima		23
tulema	välja	1835
normeerima		32
sõnastama		360
jagama	läbi	3
koostama	üle	2
kirjutama	välja	145
korrutama	läbi	8
otsustama		5235
trügima		151
kogunema		973
jaotama		597
tooma	juurde	89
tooma	välja	1068
lahutama		628
laenama		492
kartma		3447
panema	kokku	397
suhtlema		905
tutvustama		1248
lubama		5830
avaldama		3650
tunnustama		791
sulgema		1433
keskenduma		1134
kasvama		3904
tõstma		3261
kiitma		1213
arutama		1513
tegutsema		1857
väljenduma		673
käivituma		278
jätkama		3137
korrastama		264
plaanima		452
looma	kokku	33
avama		4014
investeerima		481
rajama		1173
edendama		162
kiirendama		275
soojendama		178
vahetama		1571
tulema	esile	223
laienema		523
asuma		5159
sundima		2155
vaatama	läbi	239
vormistama		347
liikuma		3108
kirjutama	valmis	44
hoidma	kokku	303
trükkima		351
toimetama	edasi	23
täpsustuma		20
olema	vaja	5431
prognoosima		384
ohjama		43
imama		43
eraldama		955
talutama		89
laiendama		558
lisama		5313
toetuma		945
ootama		7280
küpsema		127
tasuma		1852
evitama		20
sündima		2905
otsima		4572
kohtama		1077
reklaamima		236
harima		384
teavitama		367
kaotama		3067
ootama	üles	1
säilima		856
mööduma		2320
valmistama	ette	553
võtma	vastu, üle	1
pärinema		1102
kõlama	edasi	4
osutama		1485
tuletama		1010
astuma		3334
viljelema		69
lõpma		510
tingima		1383
tõmbama	kokku	69
kuulma		6803
kukkuma		1440
kontsentreeruma		35
olema	tarvis	975
soodustama		783
aitama	kaasa	730
lööma		2640
tuvastama		593
ringlema		88
täiustuma		26
krüptima		8
teisendama		70
töötlema		494
taastama		650
püüdma	kinni	211
sisalduma		612
kuulama	pealt	86
selguma		3964
emiteerima		36
varjestama		3
piiluma		278
ammutama		153
avastama		1854
nõrgendama		50
peegelduma		309
kiirguma		8
noppima	välja	25
eristama		1763
kanduma	edasi	30
eralduma		175
täheldama		707
kuduma		115
kehtima		1776
vananema		231
varjama		1437
paigaldama		297
rekonstrueerima		105
salastama		47
puutuma		938
viima	läbi	988
puuduma		3994
sertifitseerima		23
paiknema		793
valitsema		1435
reguleerima		685
kujunema	välja	406
hõlmama		1073
volitama		154
projekteerima		124
karistama		724
keelama		1290
eksportima		110
riskima		408
elama		7985
lõppema		2412
mõistma		4713
nähtuma	ette	165
monopoliseerima		12
omandama		1340
hoidma		4137
takistama		1096
planeerima		437
hankima		545
tohtima		4322
rõhutama		2203
kuulutama		1124
kujundama		874
orienteerima		234
nõudma		4764
välistama		1061
jääma	välja	336
ahvatlema		102
proovima		1781
ennetama		139
osatama		122
disainima		53
raiskama		279
jätma	välja	305
kasutama	valmis	3
printima		14
määratlema		941
jagunema		618
importima		106
skaneerima		10
moodustuma		538
baseeruma		158
rakenduma		114
peitma		676
rakendama	üle	1
aktiveerima		99
punktima		3
nummerdama		35
järgnema		2069
liituma		547
juhtuma		4518
paigutuma		71
pagema		174
rippuma		711
kasutama	alles	1
mõjuma		1821
kustutama		573
avama	välja	2
olema	valmis	24
püüdlema		139
tarbima		295
hindama		4062
disainima	välja	1
kõhklema		250
moonutama		134
garanteerima		294
mainima		1445
katkema		393
varieeruma		460
hilinema		193
parendama		35
informeerima		343
läbima		1198
kiitma	heaks	217
reserveerima		61
lükkama	tagasi	307
hargnema		112
modifitseerima		93
klassifitseerima		121
diferentseerima		70
standardiseerima		60
spetsifitseerima		10
praktiseerima		78
käituma		1157
teostama		960
varieerima		93
interpoleerima		5
lämmatama		92
kombineerima		311
aktsepteerima		430
julgema		1577
leevendama		321
ära		3200
tappima		111
kasvatama		1174
tegema	kaasa	240
kritiseerima		366
kuulama		2686
õppima		3716
ummistuma		27
mitmekümnekordistuma		1
tellima		1041
halvenema		209
maksma		5894
rahastama		181
kurtma		679
vabanema		679
teenindama		249
kaebama		482
tajuma		1172
tapma		1479
külmuma		116
muundama		64
põhjustama		2617
tõlgendama		516
eemaldama		595
uinuma		208
petma		483
selgitama	välja	571
tõrjuma		354
väljuma		817
käskima		799
toimetama	tagasi	5
nentima		1318
lakkama		306
nõustuma		1242
kopeerima		142
tungima	läbi	22
assisteerima		11
häirima		899
minema		27051
erinema		1529
tõlkima		762
tugevdama		338
kostma		1769
valmima		1026
levitama		329
rinema		1
tühistama		309
uuendama		183
laadima		202
rituma		3
võima	vaja	14
minema	vaja	419
produtseerima		118
väljastama		309
haldama		116
signeerima		39
pakkuma	välja	553
publitseerima		136
märgendama		52
panema	tähele	312
defineerima	ümber	3
avalikustama		304
püstitama		620
ohustama		322
kahandama		130
klappima		180
pärima		1056
järeldama		702
konstrueerima		276
lõikuma		86
määrama	ära	121
pakutama		60
lukustama		99
koguma		2115
kordama		1127
tõendama		349
nähtuma		403
paljastama		291
proovima	välja	1
šifreerima		8
dešifreerima		21
pikenema		158
nõutama		47
kõrgendama		90
formaliseerima		34
teadvustama		356
koondama		511
andma	ette	150
valima	välja	422
rühmitama		64
väljendama		1520
selgitama		3162
selgima		105
liigitama		233
tabama	huupi	1
hoolitsema		596
sobima	kokku	138
katkestama		740
võrduma		146
panema	välja	237
programmima		1
määrama	ümber	1
parandama		1495
kitsendama		70
kattuma		371
installeerima		65
määrama	üle	1
blokeerima		140
hindama	ümber	45
adapteeruma		5
dokumenteerima		68
vaatama	tagasi	191
deklareerima		181
rõõmustama		677
imponeerima		24
lähenema		1002
vahetuma		148
ehitama	üles	276
kutsuma		3561
torkama		671
müüma		2416
üllatama		472
ühtlustama		146
lülitama	välja	236
olenema		798
talitlema		58
alahindama		194
unustama	ära	207
paisuma		215
isoleerima		341
talletama		135
kuluma		1560
eelistama		1477
lülituma		76
taustreþiimima		1
sekkuma		442
helendama		85
mahutama		157
kandma	üle	160
kaasnema		966
lihtsustuma		28
alanema		143
täiustama		125
meenutama		2885
arendama	edasi	155
rikastama		205
tõstatuma		37
minimeerima		46
valmistatama	ette	1
etendama		260
paralleliseerima		2
kiirenema		76
koormama	üle	13
dubleerima		74
kinnistama		100
võtma	üle	276
vahelduma		159
minema	üle	420
haarama		1835
hoiduma		380
võistlema		497
opereerima		266
imestama		1203
jäädvustuma		15
ekspluateerima		45
arutlema		568
summeerima		41
juhatama		533
nägema	sisse	9
interpreteerima		183
kaevandama		25
automatiseerima		40
lõikama		806
teadma	ette	196
kodeerima		141
kohalduma		7
hoidma	ära	318
ajama		3703
selekteerima		33
siluma		139
visualiseerima		29
arenema	välja	67
formuleerima		169
genereeruma		2
söötma	ette	24
köitma	läbi	1
unustama		1941
presenteerima		11
määratlema	ette	1
kummutama		130
saama	jälile	10
lugema	välja	241
korrigeerima		533
integreerima	sisse	1
tasuma	ära	141
uskuma		5236
ravima		616
pühendama		580
teenima		2079
tõmbama		2394
filtreerima	välja	13
tabama	ära	73
võimendama		165
arvestama	maha	23
ennustama		699
käima	üle	110
hoomama		121
kaardistama		104
joonistama	üles	15
kulutama		910
juurutama		140
segmenteerima		9
lahterdama		33
põdema		326
olema	käsil	13
jääma	maha	484
mahtuma		771
võlgnema		107
ostma	koos	3
laduma		266
seadistama		16
aeguma		66
taaskasutama		12
seisma		6417
ühilduma		38
kiirustama		659
väärtustama		349
ühitama		28
vaevuma		110
sobitama		116
valideerima		12
jääma	pooleli	155
saama	valmis, alles	1
paluma		3439
andma	üle	356
seostuma		584
katsetama		425
piiritlema		161
ühinema		640
vahendama		598
edenema		230
indekseerima		13
looma	alles	7
adapteerima		7
individualiseerima		24
viima	kokku	116
lokaliseerima		50
vastutama		909
lähendama		108
juhtima	kõrvale	39
nakatuma		284
uurima	välja	90
võtma	kaasa	841
asutama		648
peletama	eemale	107
tegema	läbi	242
kulgema		759
loendama	alla	1
märkama		3357
kirjutama	sisse	82
jätma	rahule	163
minema	edasi	586
pöörduma	tagasi	303
jätma	alles	62
jääma	üle	434
kaema		459
käima	ringi	346
saama	otsa	342
meeldima		4039
minema	tagasi	560
digitaalallkirjastama		3
jõudma	ilma	1
komistama		164
sedastama		92
süvendama		189
kahekordistuma		68
kogema		712
päästma		1067
aitama	üle	12
arendama	välja	143
väärima		742
kujunema	välja, üle	1
saama	valmis	310
virguma		55
tõotama		376
leppima	kokku	720
tsentraliseerima		87
kujundama	ümber	59
ergutama		113
hoiatama		601
hoidma	mööda	1
paranema		653
korjama		494
valmistuma		486
saatma	tagasi	128
pääsema		2469
soosima		241
rajanema		182
aimama		754
